,SMILES,Experimental value
305,O=C(O)C3OC(OP(=O)(O)OP(=O)(O)OCC2OC(N1C=CC(O)=NC1(=O))C(O)C2(O))C(O)C(O)C3(O),0
306,O=C(OP(=O)(O)O)C,0
307,O=C(O)C(OP(=O)(O)O)COP(=O)(O)O,0
308,O=C(O)C(N)CCC(=O)OP(=O)(O)O,0
309,C=CC1=C2C=C3N=C(C=C4N=C(C=C5[N-]C(=CC(=C1C)N2)C(C=C)=C5C)C(C)=C4CCC(=O)[O-])C(CCC(=O)O)=C3C.[Fe+2],0
310,O=C1N=C(O)C=CN1C3OC(COP(=O)(O)OP(=O)(O)OC2OC(CO)C(O)C(O)C2(O))C(O)C3(O),0
311,O=P(O)(O)OC(=N)O,0
312,O=C(O)CCN=C(O)C(O)C(C)(C)COP(=O)(O)O,0
313,O=P(O)(OCC2OC(N1C=CCC(=C1)C(=N)O)C(O)C2(O))OP(=O)(O)OCC5OC(n4cnc3c(ncnc34)N)C(O)C5(O),0
314,O=P(O)(O)OCC1OC(O)(CO)C(O)C1(O),0
315,O=C(O)CCC(=O)SCCN=C(O)CCN=C(O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC3OC(n2cnc1c(ncnc12)N)C(O)C3(OP(=O)(O)O),0
316,O=P(O)(O)OCC(O)CO,0
317,O=C(CC)SCCN=C(O)CCN=C(O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC3OC(n2cnc1c(ncnc12)N)C(O)C3(OP(=O)(O)O),0
319,O=P(O)(O)OCC1OC(O)C(O)C1(O),0
320,O=C(CCC)SCCN=C(O)CCN=C(O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC3OC(n2cnc1c(ncnc12)N)C(O)C3(OP(=O)(O)O),0
321,O=C(O)C(O)COP(=O)(O)O,0
322,O=C(CO)C(O)C(O)COP(=O)(O)O,0
323,O=C(OP(=O)(O)O)C(O)COP(=O)(O)O,0
324,O=P(O)(O)OCC1OC(O)C(O)C(O)C1(O),0
325,O=C(C)CC(=O)SCCN=C(O)CCN=C(O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC3OC(n2cnc1c(ncnc12)N)C(O)C3(OP(=O)(O)O),0
326,O=P(O)(O)OCC1OC(O)C(N)C(O)C1(O),0
327,O=P(O)(O)OCC1OC(O)C(N=C(O)C)C(O)C1(O),0
328,O=C(CCCCCCCCCCCCCCCCC)SCCN=C(O)CCN=C(O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC3OC(n2cnc1c(ncnc12)N)C(O)C3(OP(=O)(O)O),0
329,O=C(C(C)C)SCCN=C(O)CCN=C(O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC3OC(n2cnc1c(ncnc12)N)C(O)C3(OP(=O)(O)O),0
330,O=C(O)C(OP(=O)(O)O)CO,0
331,O=P(O)(O)OC1OC(CO)C(O)C1,0
332,O=P(O)(O)OCC1OC(O)CC1(O),0
333,O=C(O)C(C(=O)SCCN=C(O)CCN=C(O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC3OC(n2cnc1c(ncnc12)N)C(O)C3(OP(=O)(O)O))C,0
334,O=C1N=C(O)C(=CN1C3OC(COP(=O)(O)OP(=O)(O)OC2OC(C(=O)C(O)C2(O))C)C(O)C3)C,0
335,O=C1N=C(O)C(=CN1C3OC(COP(=O)(O)OP(=O)(O)OC2OC(CO)C(O)C(O)C2(O))C(O)C3)C,0
336,O=P(O)(OCC3OC(n2cnc1c(ncnc12)N)C(O)C3(O))OP(=O)(O)OCC(C)(C)C(O)C(O)=NCCC(O)=NCCS,0
337,O=C(O)CC(O)(C)CCOP(=O)(O)O,0
338,O=C(O)CC(O)(C)CCOP(=O)(O)OP(=O)(O)O,0
339,O=C1C(O)C(O)C(OC1C)OP(=O)(O)OP(=O)(O)OCC4OC(n3cnc2c3(NC(=N)NC2(O)))C(O)C4(O),0
340,O=C1OC(COP(=O)(O)O)C(O)C(O)C1(O),0
341,O=C(CCC(C)C2CCC3C4C(O)CC1CC(O)CCC1(C)C4(CC(O)C23(C)))SCCN=C(O)CCN=C(O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC7OC(n6cnc5c(ncnc56)N)C(O)C7(OP(=O)(O)O),0
342,O=P(O)(O)OCC1OC(N)C(O)C1(O),0
343,O=P(O)(O)OC1C(O)C(O)C(O)C(O)C1(O),0
344,O=C(O)CC(Nc3ncnc1c3(ncn1C2OC(COP(=O)(O)O)C(O)C2(O)))C(=O)O,0
345,O=P(O)(O)OCC1OC(N=C(O)CN)C(O)C1(O),0
346,O=C(O)C(N=C(O)CCN=C(O)C(O)C(C)(C)COP(=O)(O)O)CS,0
347,O=P(O)(O)OCC1OC(N=C(O)CN=CO)C(O)C1(O),0
348,O=P(O)(O)OCC3OC(n2cnc1cc(c(cc12)C)C)C(O)C3(O),0
349,O=C1N=C(O)C=CN1C3OC(COP(=O)(O)OP(=O)(O)OC2OC(CO)C(O)C(O)C2(N=C(O)C))C(O)C3(O),0
